region;baron_first_blue;champion_first_blue;dragon_first_blue;inhibitor_first_blue;herald_first_blue;tower_first_blue;baron_first_red;champion_first_red;dragon_first_red;inhibitor_first_red;herald_first_red;tower_first_red;dif_kills;dif_barons;dif_dragons;dif_inhibitor;dif_herald;dif_tower;dif_dmg_dealt_to_buildings;dif_dmg_dealt_to_objectives;dif_dmg_dealt_to_turrets;dif_dmg_self_mitigated;dif_gold_earned;dif_gold_spent;dif_magic_dmg_dealt;dif_physical_dmg_dealt;dif_true_dmg_dealt;dif_total_minions_killed;dif_neutral_minions_killed;dif_total_heal;dif_vision_score;win_blue
KR;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;-10.0;0.0;-2.0;0.0;1.0;0.0;-6664.0;-30460.0;-6664.0;-15768.0;-13012.0;-6700.0;-246884.0;166080.0;-740.0;-84.0;-40.0;-45828.0;60.0;0.0
KR;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;16.0;1.0;-1.0;1.0;-2.0;3.0;7172.0;21548.0;7172.0;47800.0;9068.0;2510.0;121554.0;-54157.0;5246.0;9.0;-26.0;-2960.0;16.0;1.0
KR;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;15.0;0.0;0.0;1.0;2.0;4.0;13664.0;64650.0;13664.0;-18532.0;22184.0;13700.0;77480.0;64576.0;71954.0;156.0;44.0;7200.0;96.0;1.0
KR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;-16.0;0.0;-1.0;0.0;-1.0;-5.0;-13667.0;-29880.0;-13667.0;-3204.0;-13034.0;-10075.0;-35739.0;-73145.0;-24277.0;-86.0;-57.0;-9622.0;-21.0;0.0
KR;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;-12.0;0.0;-3.0;0.0;2.0;-2.0;-3090.0;-16853.0;-3090.0;-39133.0;-4585.0;-90.0;15107.0;-106103.0;26106.0;14.0;-22.0;-15643.0;-3.0;0.0
KR;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;-10.0;0.0;-2.0;0.0;1.0;0.0;-6664.0;-30460.0;-6664.0;-15768.0;-13012.0;-6700.0;-246884.0;166080.0;-740.0;-84.0;-40.0;-45828.0;60.0;0.0
KR;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;11.0;0.0;2.0;1.0;0.0;6.0;11439.0;20171.0;11439.0;7917.0;10739.0;7675.0;85288.0;18242.0;30021.0;90.0;22.0;14367.0;31.0;1.0
KR;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;-12.0;-1.0;0.0;-1.0;-2.0;-8.0;-66895.0;-151665.0;-66895.0;-85470.0;-56590.0;-24635.0;-66075.0;-201030.0;-4770.0;5.0;-70.0;-75680.0;-95.0;0.0
KR;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;17.0;1.0;1.0;1.0;-1.0;5.0;22604.0;112952.0;22604.0;-77330.0;19976.0;14200.0;79812.0;23262.0;90358.0;-92.0;-56.0;55328.0;-26.0;1.0
KR;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;11.0;1.0;2.0;1.0;2.0;5.0;9277.0;48565.0;9277.0;25582.0;8191.0;1600.0;-64669.0;117523.0;-16695.0;-9.0;-4.0;21244.0;3.0;1.0
KR;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;-4.0;-2.0;-4.0;-2.0;2.0;-5.0;-35064.0;-119852.0;-35064.0;10396.0;-15028.0;-13900.0;-631490.0;324718.0;-78244.0;0.0;-168.0;-128790.0;10.0;0.0
KR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;-11.0;0.0;-3.0;0.0;-1.0;-4.0;-8280.0;-35805.0;-8280.0;-6362.0;-7824.0;-1400.0;-48529.0;-62414.0;26105.0;-50.0;-29.0;-13518.0;-24.0;0.0
KR;0.0;0.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;-20.0;0.0;0.0;0.0;2.0;-4.0;-25148.0;328.0;-25148.0;12120.0;-17386.0;-1870.0;-354.0;-84020.0;474.0;-110.0;0.0;-300.0;-32.0;0.0
KR;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;-1.0;1.0;2.0;1.0;2.0;1.0;-824.0;48819.0;-824.0;-7023.0;4406.0;-2645.0;-4143.0;15072.0;78577.0;24.0;35.0;28956.0;45.0;1.0
KR;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;6.0;0.0;-1.0;0.0;1.0;3.0;7364.0;1366.0;7364.0;-6576.0;8752.0;7260.0;44743.0;6709.0;7077.0;26.0;20.0;1678.0;-12.0;1.0
KR;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;9.0;-2.0;2.0;-1.0;2.0;3.0;40896.0;139716.0;40896.0;-64992.0;9822.0;2460.0;-176256.0;-151854.0;374082.0;78.0;42.0;39270.0;-318.0;1.0
KR;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;9.0;0.0;-1.0;0.0;1.0;1.0;1784.0;-181.0;1784.0;-4118.0;5634.0;2360.0;15277.0;23633.0;-49845.0;26.0;-8.0;-4080.0;18.0;1.0
KR;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;-1.0;-2.0;1.0;-45.0;-15590.0;-45.0;39247.0;-1265.0;800.0;-187852.0;129453.0;-25531.0;-16.0;-4.0;-21288.0;68.0;0.0
KR;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;-26.0;-1.0;-3.0;-1.0;-2.0;-7.0;-18954.0;-86928.0;-18954.0;-56762.0;-29878.0;-24200.0;-177690.0;34458.0;-84144.0;36.0;-58.0;-10500.0;40.0;0.0
KR;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;-4.0;1.0;-3.0;0.0;-2.0;-7.0;-28656.0;-73534.0;-28656.0;-36266.0;-10886.0;-2440.0;120704.0;-276058.0;-20910.0;-48.0;-126.0;13076.0;-32.0;0.0
KR;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;15.0;0.0;0.0;1.0;2.0;4.0;13664.0;64650.0;13664.0;-18532.0;22184.0;13700.0;77480.0;64576.0;71954.0;156.0;44.0;7200.0;96.0;1.0
