summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,tier,leagueId,queue,name
Was6miWz-YyOM-ezlQipa2uxYOOZNydnHvgNLFooSm3kBWMq,Drututt,1048,I,160,135,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
p84wJv6PGbMJWcUFQHJuYhRcSQb6IEqaP-6O9WucFP_AWzY,pocovirtuoso,1397,I,242,197,True,False,False,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
oQ3UJ2WNl-iA56GqZ0g99s2D5lEUEcZ9N75idUoxNe7Q7PIiljffBGPNzw,V1T Upset,1142,I,144,110,False,False,False,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
c7ReYTv1Rc_KyaIHMsjgoWJqlx5AXpYMtv0WlbLVmjsFaoI,Kât l ï Äm,1102,I,140,103,False,False,False,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
YzP16UkmAAkuMBD_6hhyINieksGVSM4GviJYJ3Ce2mSNVsVy,xLinayaa,1169,I,125,75,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
BqAV6z0kDVzZGD5RTdwLWnBKGz4B1ODSdbM6DlX3VOVavQf6,Kongo TV Dzicz,986,I,151,124,False,False,True,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
F-hsXR3H-AzfRTLHMGa0jfnLCwDyPzbVD0mRjwmMnkjdmz-cXxPWEwoveQ,DONTBECRY,1058,I,119,75,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
3c6yKcYCTH1tHxirnTtFVNsvyC_KqdHtTaLLS0EyVzHIRxOM,on the fire,1318,I,148,100,True,False,False,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
p8Iz5O2ia_6QwLXTMO84URNaKeEgYTfkjQTIAI3THuTiDSS7,bbchungus,951,I,240,211,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
0w82hAqOlPFvBvaPVsUPm77kA236BN1DTgUxTaMcxFeqPxs,sootrebor,1006,I,143,112,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
dBg3zXdg-XzjpdKhI1dL81H7mFM1UrGuygdjuCRNikQU5Sc,TH Krillin,1419,I,213,168,True,False,False,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
1DvCEcJFtz0Xlp83sK7jLRCKsRq5yE9BUlojSqq2eY2hOyc,Odysseus131,1557,I,243,188,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
Z04VCvFBXX4kOjpblLcY45tAB_7vw7XDepRV16ZcYkV1G0g,GO toucouille,1399,I,212,172,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
V9LWJDhsyrMHFCTNwcyTGyDWaycCgDZOy_PgULafKo2WjqE,3rd June,997,I,104,63,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
IDQXHmLfMdA4k8Tu5jidMBUS06bZIeEtO1Pop7ucgcdbt0PR,bluerzοr,1107,I,383,348,False,False,True,True,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
dgRc_F1vzutTNrOGMCOmIC4jx16r2vT65-ssh2d37eQbB6M-S6If_T7vZA,Cerecof1,947,I,233,204,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
ukFE4TLFnzThhwDim6aVA6ncCe7Ceggv0fIQj5EPvm5bQF8,Just Ryoshi,999,I,232,203,False,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
Re_m2ZDh7byfLhZkfhoOtvF8NmaFGmz2DaOn689hPVQw72w,SlNGED,1073,I,300,268,True,False,False,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
o0_YV8Lpc5UDplrzJJobXBm1kbiYTRGR2PAw4siMia7KsiM,KyM,989,I,429,370,False,False,True,False,CHALLENGER,ffb51787-a612-327d-ab46-d826666d508d,RANKED_SOLO_5x5,Corki's Sentinels
